TckrSymb,FinInstrmNm,Industry,exchange
AGARWALTUF,AGARWAL TOUGH GLASS IND L,Industrial Products,NSE
AGI,AGI GREENPAC LIMITED,Industrial Products,NSE
AGIIL,AGI INFRA LIMITED,Realty,NSE
AGNI,AGNI GREEN POWER LTD,Construction,NSE
AGRITECH,AGRI-TECH (INDIA) LIMITED,Agricultural Food & other Products,NSE
AGROPHOS,AGRO PHOS INDIA LIMITED,Fertilizers & Agrochemicals,NSE
AGSTRA,AGS TRANSACT TECH LTD,Financial Technology (Fintech),NSE
AHLADA,AHLADA ENGINEERS LIMITED,,NSE
AHLUCONT,AHLUWALIA CONT IND LTD,Construction,NSE
AIAENG,AIA ENGINEERING LIMITED,Industrial Products,NSE
AIMTRON,AIMTRON ELECTRONICS LTD,Industrial Manufacturing,NSE
GOLDTECH,AION-TECH SOLUTIONS LTD,IT - Software,NSE
AIRAN,AIRAN LIMITED,IT - Services,NSE
AIROLAM,AIRO LAM LIMITED,Consumer Durables,NSE
AIRTELPP,AIRTEL RS. 1.25 PPD UP,,NSE
AJANTPHARM,AJANTA PHARMA LIMITED,Pharmaceuticals & Biotechnology,NSE
AJAXENGG,AJAX ENGINEERING LIMITED,"Agricultural, Commercial & Construction Vehicles",NSE
AJMERA,AJMERA REALTY & INF I LTD,Realty,NSE
AJOONI,AJOONI BIOTECH LIMITED,Food Products,NSE
AKANKSHA,AKANKSHA POWER N INFRA L,Electrical Equipment,NSE
AKASH,AKASH INFRA-PROJECTS LTD,Construction,NSE
AKG,AKG EXIM LIMITED,Commercial Services & Supplies,NSE
AKI,AKI INDIA LIMITED,Consumer Durables,NSE
AKIKO,AKIKO GLOBAL SERVICES L,Finance,NSE
AFIL,AKME FINTRADE (INDIA) LTD,Finance,NSE
AKSHOPTFBR,AKSH OPTIFIBRE LTD,Telecom - Equipment & Accessories,NSE
AKSHAR,AKSHAR SPINTEX LIMITED,Textiles & Apparels,NSE
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,Chemicals & Petrochemicals,NSE
AKUMS,AKUMS DRUGS AND PHARMA L,Pharmaceuticals & Biotechnology,NSE
AKZOINDIA,AKZO NOBEL INDIA LIMITED,Consumer Durables,NSE
ALANKIT,ALANKIT LIMITED,Commercial Services & Supplies,NSE
ALBERTDAVD,ALBERT DAVID LIMITED,Pharmaceuticals & Biotechnology,NSE
ALEMBICLTD,ALEMBIC LIMITED,Realty,NSE
