TckrSymb,FinInstrmNm,Industry,exchange
JTLIND,JTL INDUSTRIES LIMITED,Industrial Products,NSE
JUBLCPL,JUBILANT AGRI N CON PRO L,Chemicals & Petrochemicals,NSE
JUBLFOOD,JUBILANT FOODWORKS LTD,Leisure Services,NSE
JUBLINGREA,JUBILANT INGREVIA LIMITED,Chemicals & Petrochemicals,NSE
JUBLPHARMA,JUBILANT PHARMOVA LTD,Pharmaceuticals & Biotechnology,NSE
JMA,JULLUNDUR MOT AGENCY LTD,,NSE
JUNIPER,JUNIPER HOTELS LIMITED,Leisure Services,NSE
JLHL,JUPITER LIFE LINE HOSP L,Healthcare Services,NSE
JWL,JUPITER WAGONS LIMITED,Industrial Manufacturing,NSE
JUSTDIAL,JUSTDIAL LTD.,Retailing,NSE
JYOTHYLAB,JYOTHY LABS LIMITED,Household Products,NSE
JYOTICNC,JYOTI CNC AUTOMATION LTD,Industrial Manufacturing,NSE
JYOTISTRUC,JYOTI STRUCTURES LTD,Electrical Equipment,NSE
KMSUGAR,K M SUGAR MILLS LTD,Agricultural Food & other Products,NSE
KPEL,K.P. ENERGY LIMITED,Power,NSE
K2INFRA,K2 INFRAGEN LIMITED,Construction,NSE
KKJEWELS,KABRA JEWELS LIMITED,Consumer Durables,NSE
KABRAEXTRU,KABRAEXTRUSION,Industrial Manufacturing,NSE
KAJARIACER,KAJARIA CERAMICS LTD,Consumer Durables,NSE
KAKATCEM,KAKATIYA CEM SUGAR &IND L,Cement & Cement Products,NSE
KALANA,KALANA ISPAT LIMITED,Industrial Products,NSE
KPIL,KALPATARU PROJECT INT LTD,Construction,NSE
KALYANKJIL,KALYAN JEWELLERS IND LTD,Consumer Durables,NSE
KALYANIFRG,KALYANI FORGE LIMITED,Industrial Products,NSE
KICL,KALYANI INVEST CO LTD,Finance,NSE
KSL,KALYANI STEELS LIMITED,Industrial Products,NSE
KAMATHOTEL,KAMAT HOTELS (I) LTD,Leisure Services,NSE
KAMDHENU,KAMDHENU LIMITED,Industrial Products,NSE
KAMOPAINTS,KAMDHENU VENTURES LIMITED,Consumer Durables,NSE
KANANIIND,KANANI INDUSTRIES LTD,Consumer Durables,NSE
KANDARP,KANDARP DG SMART BPO LTD,Commercial Services & Supplies,NSE
KANORICHEM,KANORIA CHEMICALS & INDUS,Industrial Manufacturing,NSE
KANPRPLA,KANPUR PLASTIPACK LIMITED,Industrial Products,NSE
KANSAINER,KANSAI NEROLAC PAINTS LTD,Consumer Durables,NSE
KAPSTON,KAPSTON SERVICES LIMITED,Commercial Services & Supplies,NSE
KARMAENG,KARMA ENERGY LIMITED,Power,NSE
KTKBANK,KARNATAKA BANK LIMITED,Banks,NSE
KARNIKA,KARNIKA INDUSTRIES LTD,Textiles & Apparels,NSE
KARURVYSYA,KARUR VYSYA BANK LTD,Banks,NSE
KATARIA,KATARIA INDUSTRIES LTD,Industrial Manufacturing,NSE
KAUSHALYA,KAUSHALYA INFRA DEV LTD.,Leisure Services,NSE
KLL,KAUSHALYA LOGISTICS LTD,Retailing,NSE
KSCL,KAVERI SEED CO. LTD.,Agricultural Food & other Products,NSE
KAVVERITEL,KAVVERI TEL. LTD.,Telecom - Equipment & Accessories,NSE
KCEIL,KAY CEE ENERGY & INFRA L,Construction,NSE
KAYA,KAYA LIMITED,Leisure Services,NSE
KAYNES,KAYNES TECHNOLOGY IND LTD,Industrial Manufacturing,NSE
KBCGLOBAL,KBC GLOBAL LIMITED,Realty,NSE
KCK,KCK INDUSTRIES LTD,Agricultural Food & other Products,NSE
KCP,KCP LTD,Cement & Cement Products,NSE
KCPSUGIND,KCP SUGAR IND CORP LTD.,Agricultural Food & other Products,NSE
KDDL,KDDL LIMITED,Consumer Durables,NSE
KEC,KEC INTL. LIMITED,Construction,NSE
KEI,KEI INDUSTRIES LTD.,Industrial Products,NSE
KELLTONTEC,KELLTON TECH SOL LTD,IT - Software,NSE
KEN,KEN ENTERPRISES LIMITED,Textiles & Apparels,NSE
KERNEX,KERNEX MICROSYS(I) LTD,Transport Services,NSE
KESORAMIND,KESORAM INDUSTRIES LTD,Cement & Cement Products,NSE
KKCL,KEWAL KIRAN CLOTHING LTD,Textiles & Apparels,NSE
KEYFINSERV,KEYNOTE FIN SERV LTD.,Capital Markets,NSE
RUSTOMJEE,KEYSTONE REALTORS LIMITED,Realty,NSE
KFINTECH,KFIN TECHNOLOGIES LIMITED,Capital Markets,NSE
KHADIM,KHADIM INDIA LIMITED,Consumer Durables,NSE
KHAITANLTD,KHAITAN (INDIA)LTD.,Consumer Durables,NSE
KHAICHEM,KHAITAN CHEM & FERT LTD,Fertilizers & Agrochemicals,NSE
KHANDSE,KHANDWALA SECURITIES LTD,Capital Markets,NSE
KHFM,KHFM HOS FAC MANA SER LTD,Commercial Services & Supplies,NSE
KILITCH,KILITCH DRUGS INDIA LTD,Pharmaceuticals & Biotechnology,NSE
KINGFA,KINGFA SCI & TEC IND LTD.,Industrial Products,NSE
KIOCL,KIOCL LIMITED,Ferrous Metals,NSE
KIRIINDUS,KIRI INDUSTRIES LIMITED,Chemicals & Petrochemicals,NSE
KIRLOSBROS,KIRLOSKAR BROTHERS LTD,Industrial Products,NSE
KECL,KIRLOSKAR ELECTRIC CO LTD,Electrical Equipment,NSE
KIRLOSIND,KIRLOSKAR INDUSTRIES LTD,Industrial Products,NSE
KIRLOSENG,KIRLOSKAR OIL ENG LTD,Industrial Products,NSE
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,Industrial Products,NSE
KITEX,KITEX GARMENTS LTD,Textiles & Apparels,NSE
KKVAPOW,KKV AGRO POWERS LTD.,Consumer Durables,NSE
KNAGRI,KN AGRI RESOURCES LIMITED,Agricultural Food & other Products,NSE
KMEW,KNOWLEDGE MARINE & EN W L,Engineering Services,NSE
KNRCON,KNR CONSTRU LTD.,Construction,NSE
KODYTECH,KODY TECHNOLAB LIMITED,IT - Software,NSE
KOHINOOR,KOHINOOR FOODS LIMITED,Agricultural Food & other Products,NSE
KOKUYOCMLN,KOKUYO CAMLIN LIMITED,Household Products,NSE
KOLTEPATIL,KOLTE PATIL DEV. LTD.,Realty,NSE
KONSTELEC,KONSTELEC ENGINEERS LTD,Construction,NSE
KONTOR,KONTOR SPACE LIMITED,Commercial Services & Supplies,NSE
KOPRAN,KOPRAN LTD,Pharmaceuticals & Biotechnology,NSE
KDL,KORE DIGITAL LIMITED,Telecom - Services,NSE
GOLD1,KOTAK GOLD ETF,,NSE
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Banks,NSE
NIFTY1,KOTAK NIFTY ETF,,NSE
PSUBANK,KOTAK PSU BANK,,NSE
ALPHA,KOTAKMAMC - KOTAKALPHA,,NSE
CONS,KOTAKMAMC - KOTAKCONS,,NSE
IT,KOTAKMAMC - KOTAKIT,,NSE
LIQUID1,KOTAKMAMC - KOTAKLIQ,,NSE
LOWVOL1,KOTAKMAMC - KOTAKLOVOL,,NSE
MIDCAP,KOTAKMAMC - KOTAKMID50,,NSE
MNC,KOTAKMAMC - KOTAKMNC,,NSE
SILVER1,KOTAKMAMC - KOTAKSILVE,,NSE
NV20,KOTAKMAMC - KTKNV20ETF,,NSE
MID150,KOTAKMAMC - MID150,,NSE
MSCIINDIA,KOTAKMAMC - MSCIINDIA,,NSE
NIFTY100EW,KOTAKMAMC - NIFTY100EW,,NSE
BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,,NSE
KOTHARIPET,KOTHARI PETROCHEM LTD,Chemicals & Petrochemicals,NSE
KOTHARIPRO,KOTHARI PRODUCTS LTD,Commercial Services & Supplies,NSE
KOTARISUG,KOTHARI SUG & CHEM LTD.,Agricultural Food & other Products,NSE
KOTYARK,KOTYARK INDUSTRIES LTD,Gas,NSE
KPIGREEN,KPI GREEN ENERGY LIMITED,Power,NSE
KPITTECH,KPIT TECHNOLOGIES LIMITED,IT - Software,NSE
KPRMILL,KPR MILL LTD.,Textiles & Apparels,NSE
KRBL,KRBL LIMITED,Agricultural Food & other Products,NSE
KREBSBIO,KREBS BIOCHEMICALS & IND,Pharmaceuticals & Biotechnology,NSE
KRIDHANINF,KRIDHAN INFRA LIMITED,Construction,NSE
KRISHANA,KRISHANA PHOSCHEM LIMITED,Fertilizers & Agrochemicals,NSE
KRISHCA,KRISHCA STRAPPING SLTN L,Industrial Products,NSE
KRISHIVAL,KRISHIVAL FOODS LIMITED,Food Products,NSE
KRISHNADEF,KRISHNA DEF AND ALD IND L,Aerospace & Defense,NSE
KIMS,KRISHNA INST OF MED SCI L,Healthcare Services,NSE
KRITI,KRITI INDUSTRIES IND LTD,Industrial Products,NSE
KRITINUT,KRITI NUTRIENTS LIMITED,Agricultural Food & other Products,NSE
KRITIKA,KRITIKA WIRES LIMITED,Industrial Products,NSE
KRN,KRN HEAT EXCHANGE N REF L,Industrial Products,NSE
KRONOX,KRONOX LAB SCIENCES LTD,Chemicals & Petrochemicals,NSE
KROSS,KROSS LIMITED,Auto Components,NSE
KRSNAA,KRSNAA DIAGNOSTICS LTD,Healthcare Services,NSE
KRYSTAL,KRYSTAL INTEGRATED SER L,Commercial Services & Supplies,NSE
KSB,KSB LIMITED,Industrial Products,NSE
KSHITIJPOL,KSHITIJ POLYLINE LIMITED,Chemicals & Petrochemicals,NSE
KSOLVES,KSOLVES INDIA LIMITED,IT - Software,NSE
KUANTUM,KUANTUM PAPERS LIMITED,"Paper, Forest & Jute Products",NSE
KEL,KUNDAN EDIFICE LIMITED,Consumer Durables,NSE
LTF,L&T FINANCE LIMITED,Finance,NSE
LTTS,L&T TECHNOLOGY SER. LTD.,IT - Services,NSE
LAOPALA,LA OPALA RG LIMITED,Consumer Durables,NSE
LAGNAM,LAGNAM SPINTEX LIMITED,Textiles & Apparels,NSE
LFIC,LAKSHMI FIN IND CORP LTD,Finance,NSE
LAKPRE,LAKSHMI PRE SCRE LTD,Auto Components,NSE
LAKSHYA,LAKSHYA POWERTECH LIMITED,,NSE
LAMBODHARA,LAMBODHARA TEXTILES LTD.,Textiles & Apparels,NSE
LAMOSAIC,LAMOSAIC INDIA LIMITED,Consumer Durables,NSE
LANCORHOL,LANCOR HOLDINGS LIMITED,Realty,NSE
LANDMARK,LANDMARK CARS LIMITED,Automobiles,NSE
LPDC,LANDMARK PR.DEV.CO.LTD,Realty,NSE
LT,LARSEN & TOUBRO LTD.,Construction,NSE
LASA,LASA SUPERGENERICS LTD,Pharmaceuticals & Biotechnology,NSE
LATENTVIEW,LATENT VIEW ANALYTICS LTD,IT - Software,NSE
LATTEYS,LATTEYS INDUSTRIES LTD,,NSE
LAURUSLABS,LAURUS LABS LIMITED,Pharmaceuticals & Biotechnology,NSE
LAXMICOT,LAXMI COTSPIN LIMITED,Textiles & Apparels,NSE
LAXMIDENTL,LAXMI DENTAL LIMITED,Healthcare Equipment & Supplies,NSE
LGHL,LAXMI GOLDORNA HOUSE LTD,Consumer Durables,NSE
LXCHEM,LAXMI ORGANIC INDUS LTD,Chemicals & Petrochemicals,NSE
LCCINFOTEC,LCC INFOTECH LTD,Other Consumer Services,NSE
LEMERITE,LE MERITE EXPORTS LIMITED,Textiles & Apparels,NSE
IXIGO,LE TRAVENUES TECHNOLOGY L,Leisure Services,NSE
LEMONTREE,LEMON TREE HOTELS LTD,Leisure Services,NSE
LEXUS,LEXUS GRANITO (INDIA) LTD,,NSE
LGBBROSLTD,LG BALAKRISHNAN & BROS,Auto Components,NSE
LIBAS,LIBAS CONSU PRODUCTS LTD,Textiles & Apparels,NSE
LIBERTSHOE,LIBERTY SHOES LTD,Consumer Durables,NSE
LICHSGFIN,LIC HOUSING FINANCE LTD,Finance,NSE
LICMFGOLD,LIC MF - LIC GOLD ETF,,NSE
LICNETFN50,LICNAMC - LICNFENGP,,NSE
LICNETFSEN,LICNAMC - LICNFESGP,,NSE
LICNFNHGP,LICNAMC - LICNFNHGP,,NSE
LICNETFGSC,LICNAMC - LICNMFET,,NSE
LICNMID100,LICNAMC - LICNMID100,,NSE
LICI,LIFE INSURA CORP OF INDIA,Insurance,NSE
LIKHITHA,LIKHITHA INFRASTRUC LTD,Construction,NSE
LINC,LINC LIMITED,Household Products,NSE
LINCOLN,LINCOLN PHARMA LTD,Pharmaceuticals & Biotechnology,NSE
LINDEINDIA,LINDE INDIA LIMITED,Chemicals & Petrochemicals,NSE
LLOYDS-RE1,LLOYDS ENG WORKS LTD,,NSE
LLOYDSENGG,LLOYDS ENGG WORK LIMITED,Industrial Manufacturing,NSE
LLOYDSENT,LLOYDS ENTERPRISES LTD,Metals & Minerals Trading,NSE
LLOYDS,LLOYDS LUXURIES LIMITED,Leisure Services,NSE
LLOYDSME,LLOYDS METALS N ENERGY L,Minerals & Mining,NSE
LMW,LMW LIMITED,Industrial Manufacturing,NSE
LOKESHMACH,LOKESH MACHINES LTD,Industrial Manufacturing,NSE
LORDSCHLO,LORDS CHLORO ALKALI LTD,Chemicals & Petrochemicals,NSE
LAL,LORENZINI APPARELS LTD,Textiles & Apparels,NSE
LOTUSEYE,LOTUS EYE HOSP & INST L,Healthcare Services,NSE
LOVABLE,LOVABLE LINGERIE LTD,Textiles & Apparels,NSE
LOYALTEX,LOYAL TEXTILE MILLS LTD,Textiles & Apparels,NSE
LTFOODS,LT FOODS LIMITED,Agricultural Food & other Products,NSE
LTIM,LTIMINDTREE LIMITED,IT - Software,NSE
LUMAXTECH,LUMAX AUTO TECH LTD,Auto Components,NSE
LUMAXIND,LUMAX INDUSTRIES LTD,Auto Components,NSE
LUPIN,LUPIN LIMITED,Pharmaceuticals & Biotechnology,NSE
LUXIND,LUX INDUSTRIES LIMITED,Textiles & Apparels,NSE
LYKALABS,LYKA LABS LTD,Pharmaceuticals & Biotechnology,NSE
LYPSAGEMS,LYPSA GEMS & JEWEL LTD,Consumer Durables,NSE
MKPL,M K PROTEINS LIMITED,Agricultural Food & other Products,NSE
M&MFIN,M&M FIN. SERVICES LTD,Finance,NSE
MVKAGRO,M.V.K. AGRO FOOD PROD LTD,Agricultural Food & other Products,NSE
MAANALU,MAAN ALUMINIUM LIMITED,Non - Ferrous Metals,NSE
MACOBSTECH,MACOBS TECHNOLOGIES LTD,Personal Products,NSE
MACPOWER,MACPOWER CNC MACHINES LTD,,NSE
LODHA,MACROTECH DEVELOPERS LTD,Realty,NSE
MCL,MADHAV COPPER LIMITED,Industrial Products,NSE
MADHAV,MADHAV MARBLE & GRANITE,Consumer Durables,NSE
MADHUCON,MADHUCON PROJECTS LTD.,Construction,NSE
MADHUSUDAN,MADHUSUDAN MASALA LIMITED,Food Products,NSE
MBAPL,MADHYA BHARAT AGRO P. LTD,Fertilizers & Agrochemicals,NSE
MADRASFERT,MADRAS FERTILISERS LTD,Fertilizers & Agrochemicals,NSE
MAGADSUGAR,MAGADH SUGAR & ENERGY LTD,Agricultural Food & other Products,NSE
MCLOUD,MAGELLANIC CLOUD LIMITED,IT - Software,NSE
MAGNUM,MAGNUM VENTURES LTD.,"Paper, Forest & Jute Products",NSE
MAGSON,MAGSON RETAIL AND DIST L,Food Products,NSE
MAHAPEXLTD,MAHA RASHTRA APEX COPR. L,Finance,NSE
MFML,MAHALAXMI FABRIC MILLS LT,Textiles & Apparels,NSE
MHLXMIRU,MAHALAXMI RUBTECH LIMITED,Textiles & Apparels,NSE
MAHASTEEL,MAHAMAYA STEEL INDS LTD,Industrial Products,NSE
MGL,MAHANAGAR GAS LTD.,Gas,NSE
MTNL,MAHANAGAR TELEPHONE NIGAM,Telecom - Services,NSE
MAHSCOOTER,MAHARASHTRA SCOOTERS LTD,Finance,NSE
MAHSEAMLES,MAHARASHTRA SEAMLESS LTD,Industrial Products,NSE
MAHESHWARI,MAHESHWARI LOGISTICS LTD.,Diversified,NSE
MAHICKRA,MAHICKRA CHEMICAL LIMITED,Chemicals & Petrochemicals,NSE
M&M,MAHINDRA & MAHINDRA LTD,Automobiles,NSE
M&MFIN-RE1,MAHINDRA & MAHINDRA RE,,NSE
MAHEPC,MAHINDRA EPC IRRIG LTD,Industrial Manufacturing,NSE
MHRIL,MAHINDRA HOLIDAYS LTD,Leisure Services,NSE
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,Realty,NSE
MAHLOG,MAHINDRA LOGISTIC LIMITED,Transport Services,NSE
MAITHANALL,MAITHAN ALLOYS LTD,Ferrous Metals,NSE
MAITREYA,MAITREYA MEDICARE LIMITED,Healthcare Services,NSE
MAKS,MAKS ENERGY SOL INDIA LTD,Industrial Products,NSE
MALLCOM,MALLCOM (INDIA) LIMITED,Industrial Products,NSE
MALUPAPER,MALU PAPER MILLS LIMITED,"Paper, Forest & Jute Products",NSE
MAMATA,MAMATA MACHINERY LIMITED,Industrial Manufacturing,NSE
MANAKCOAT,MAN COAT METAL & IND LTD,Industrial Products,NSE
MANINDS,MAN INDUSTRIES (I) LTD.,Industrial Products,NSE
MANINFRA,MAN INFRA LTD,Construction,NSE
MANAKALUCO,MANAK ALUMINIUM CO. LTD.,Non - Ferrous Metals,NSE
MANAKSIA,MANAKSIA LTD.,Industrial Products,NSE
MANAKSTEEL,MANAKSIA STEELS LTD,Ferrous Metals,NSE
MANALIPETC,MANALI PETROCHEMICALS LT,Chemicals & Petrochemicals,NSE
MANAPPURAM,MANAPPURAM FINANCE LTD,Finance,NSE
MANAV,MANAV INFRA PROJECTS LTD,Construction,NSE
MANBA,MANBA FINANCE LIMITED,Finance,NSE
MANGCHEFER,MANG.CHEM.FERT.LTD,Fertilizers & Agrochemicals,NSE
MANCREDIT,MANGAL CREDIT N FINCORP L,Finance,NSE
MAL,MANGALAM ALLOYS LIMITED,Industrial Products,NSE
MANGLMCEM,MANGALAM CEMENT LTD,Cement & Cement Products,NSE
MANGALAM,MANGALAM DRUG & CHEM LTD,Pharmaceuticals & Biotechnology,NSE
MGEL,MANGALAM GLOBAL ENT LTD,Agricultural Food & other Products,NSE
MANORG,MANGALAM ORGANICS LIMITED,Chemicals & Petrochemicals,NSE
MWL,MANGALAM WORLDWIDE LTD,Metals & Minerals Trading,NSE
MIEL,MANGLAM INFRA & ENG LTD,Commercial Services & Supplies,NSE
MANKIND,MANKIND PHARMA LIMITED,Pharmaceuticals & Biotechnology,NSE
MVGJL,MANOJ VAIBHAV GEM N JEW L,Consumer Durables,NSE
MANOMAY,MANOMAY TEX INDIA LTD,Textiles & Apparels,NSE
MANORAMA,MANORAMA INDUSTRIES LTD,Food Products,NSE
MANUGRAPH,MANUGRAPH INDIA LIMITED,Industrial Manufacturing,NSE
MARALOVER,MARAL OVERSEAS LTD,Textiles & Apparels,NSE
MARATHON,MARATHON NXTGEN REALT LTD,Realty,NSE
MARCO,MARCO CABLE & CONDUCTOR L,Industrial Products,NSE
MARICO,MARICO LIMITED,Agricultural Food & other Products,NSE
MARINE,MARINE ELECTRICAL (I) LTD,,NSE
MARKSANS,MARKSANS PHARMA LIMITED,Pharmaceuticals & Biotechnology,NSE
MARSHALL,MARSHALL MACHINES LTD,,NSE
MARUTI,MARUTI SUZUKI INDIA LTD.,Automobiles,NSE
MDL,MARVEL DECOR LIMITED,,NSE
MASFIN,MAS FINANCIAL SERV LTD,Finance,NSE
MASKINVEST,MASK INVESTMENTS LIMITED,Finance,NSE
MASON,MASON INFRATECH LIMITED,Realty,NSE
MASTEK,MASTEK LTD,IT - Software,NSE
MASTER,MASTER COMPONENTS LIMITED,Industrial Products,NSE
MASTERTR,MASTER TRUST LIMITED,Capital Markets,NSE
MATRIMONY,MATRIMONY.COM LIMITED,Retailing,NSE
MAWANASUG,MAWANA SUGARS LIMITED,Agricultural Food & other Products,NSE
MAXESTATES,MAX ESTATES LIMITED,Realty,NSE
MFSL,MAX FINANCIAL SERV LTD,Insurance,NSE
MAXHEALTH,MAX HEALTHCARE INS LTD,Healthcare Services,NSE
MAXIND,MAX INDIA LIMITED,Finance,NSE
MAXPOSURE,MAXPOSURE LIMITED,Entertainment,NSE
MAXVOLT,MAXVOLT ENERGY INDUS L,Auto Components,NSE
MAYURUNIQ,MAYUR UNIQUOTERS LTD,Consumer Durables,NSE
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,Industrial Manufacturing,NSE
MAZDA,MAZDA LIMITED,Industrial Manufacturing,NSE
MBLINFRA,MBL INFRASTRUCTURE LTD,Construction,NSE
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,Agricultural Food & other Products,NSE
MCON,MCON RASAYAN INDIA LTD,Other Construction Materials,NSE
MEDIASSIST,MEDI ASSIST HEALTH SER L,Insurance,NSE
MEDICAMEQ,MEDICAMEN BIOTECH LIMITED,Pharmaceuticals & Biotechnology,NSE
MEDIORG,MEDICAMEN ORGANICS LTD,Pharmaceuticals & Biotechnology,NSE
MEDICO,MEDICO REMEDIES LIMITED,Pharmaceuticals & Biotechnology,NSE
MEDPLUS,MEDPLUS HEALTH SERV LTD,Retailing,NSE
MEGASOFT,MEGASOFT LTD,Telecom - Services,NSE
MEGASTAR,MEGASTAR FOODS LIMITED,Food Products,NSE
MEGATHERM,MEGATHERM INDUCTION LTD,Industrial Products,NSE
MOL,MEGHMANI ORGANICS LIMITED,Fertilizers & Agrochemicals,NSE
MENONBE,MENON BEARINGS LIMITED,Auto Components,NSE
MEP,MEP INFRA. DEVELOPERS LTD,Transport Infrastructure,NSE
METROBRAND,METRO BRANDS LIMITED,Consumer Durables,NSE
METROPOLIS,METROPOLIS HEALTHCARE LTD,Healthcare Services,NSE
MICEL,MIC ELECTRONICS LTD,Industrial Manufacturing,NSE
MICROPRO,MICROPRO SOFTWARE SOL L,IT - Software,NSE
MILTON,MILTON INDUSTRIES LIMITED,Consumer Durables,NSE
MINDACORP,MINDA CORPORATION LTD,Auto Components,NSE
MINDPOOL,MINDPOOL TECHNOLOGIES LTD,IT - Services,NSE
MINDSPACE,MINDSPACE BUSINESS P REIT,Realty,NSE
MINDTECK,MINDTECK (INDIA) LIMITED,IT - Software,NSE
ALPHAETF,MIRAEAMC - ALPHAETF,,NSE
BANKETF,MIRAEAMC - BANKETF,,NSE
BANKPSU,MIRAEAMC - BANKPSU,,NSE
CONSUMER,MIRAEAMC - CONSUMER,,NSE
EQUAL200,MIRAEAMC - EQUAL200,,NSE
EQUAL50,MIRAEAMC - EQUAL50,,NSE
EVINDIA,MIRAEAMC - EVINDIA,,NSE
ITETF,MIRAEAMC - ITETF,,NSE
LIQUID,MIRAEAMC - LIQUID,,NSE
LIQUIDPLUS,MIRAEAMC - LIQUIDPLUS,,NSE
ESG,MIRAEAMC - MAESGETF,,NSE
MAFANG,MIRAEAMC - MAFANG,,NSE
BFSI,MIRAEAMC - MAFSETF,,NSE
GOLDETF,MIRAEAMC - MAGOLDETF,,NSE
GSEC10YEAR,MIRAEAMC - MAGS813ETF,,NSE
MAHKTECH,MIRAEAMC - MAHKTECH,,NSE
MIDCAPETF,MIRAEAMC - MAM150ETF,,NSE
MAKEINDIA,MIRAEAMC - MAMFGETF,,NSE
NIFTYETF,MIRAEAMC - MAN50ETF,,NSE
LOWVOL,MIRAEAMC - MANV30F,,NSE
NEXT50,MIRAEAMC - MANXT50,,NSE
SILVRETF,MIRAEAMC - MASILVER,,NSE
MASPTOP50,MIRAEAMC - MASPTOP50,,NSE
METAL,MIRAEAMC - METAL,,NSE
MIDSMALL,MIRAEAMC - MIDSMALL,,NSE
MULTICAP,MIRAEAMC - MULTICAP,,NSE
SELECTIPO,MIRAEAMC - SELECTIPO,,NSE
SENSEXETF,MIRAEAMC - SENSEXETF,,NSE
SMALLCAP,MIRAEAMC - SMALLCAP,,NSE
MIRCELECTR,MIRCELECTR-DEPO,Consumer Durables,NSE
MIRZAINT,MIRZA INTERNATIONAL LIMIT,Consumer Durables,NSE
MIDHANI,MISHRA DHATU NIGAM LTD,Aerospace & Defense,NSE
MITCON,MITCON CON & ENG SER LTD,Commercial Services & Supplies,NSE
MITCONPP,MITCON CON RS.2.50 PPD UP,,NSE
MITTAL,MITTAL LIFE STYLE LIMITED,Textiles & Apparels,NSE
MMFL,MM FORGINGS LTD,Auto Components,NSE
MMP,MMP INDUSTRIES LIMITED,Non - Ferrous Metals,NSE
MMTC,MMTC LIMITED,Commercial Services & Supplies,NSE
MODTHREAD,MODERN THREADS INDIA LTD,Textiles & Apparels,NSE
MODIRUBBER,MODI RUBBER LTD,Auto Components,NSE
MODISONLTD,MODISON LIMITED,Electrical Equipment,NSE
MHHL,MOHINI HEALTH&HYGIENE LTD,Healthcare Equipment & Supplies,NSE
MOHITIND,MOHIT INDUSTRIES LTD,Textiles & Apparels,NSE
MOIL,MOIL LIMITED,Minerals & Mining,NSE
MOKSH,MOKSH ORNAMENTS LIMITED,Consumer Durables,NSE
MOLDTKPAC,MOLD-TEK PACKAGING LTD,Industrial Products,NSE
MOLDTECH,MOLD-TEK TECHNOLOGIES LTD,IT - Services,NSE
MONARCH,MONARCH NETWORTH CAP LTD,Capital Markets,NSE
MONTECARLO,MONTE CARLO FASHIONS LTD.,Textiles & Apparels,NSE
MOREPENLAB,MOREPEN LAB. LTD,Pharmaceuticals & Biotechnology,NSE
MOS,MOS UTILITY LIMITED,Financial Technology (Fintech),NSE
MOSCHIP,MOSCHIP TECHNOLOGIES LTD,IT - Hardware,NSE
MSUMI,MOTHERSON SUMI WRNG IND L,Auto Components,NSE
MOM100,MOTILAL OS MIDCAP100 ETF,,NSE
MON100,MOTILAL OS NASDAQ100 ETF,,NSE
MOTILALOFS,MOTILAL OSWAL FIN LTD,Capital Markets,NSE
MOM50,MOTILAL OSWAL M50 ETF,,NSE
MOGSEC,MOTILALAMC - G5,,NSE
MOCAPITAL,MOTILALAMC - MOCAPITAL,,NSE
MODEFENCE,MOTILALAMC - MODEFENCE,,NSE
MOHEALTH,MOTILALAMC - MOHEALTH,,NSE
MOINFRA,MOTILALAMC - MOINFRA,,NSE
MOLOWVOL,MOTILALAMC - MOLOWVOL,,NSE
MOMENTUM50,MOTILALAMC - MOMENTUM50,,NSE
MOMOMENTUM,MOTILALAMC - MOMOMENTUM,,NSE
MON50EQUAL,MOTILALAMC - MON50EQUAL,,NSE
MONEXT50,MOTILALAMC - MONEXT50,,NSE
MONIFTY500,MOTILALAMC - MONIFTY500,,NSE
MONQ50,MOTILALAMC - MONQ50,,NSE
MOQUALITY,MOTILALAMC - MOQUALITY,,NSE
MOREALTY,MOTILALAMC - MOREALTY,,NSE
MOSMALL250,MOTILALAMC - MOSMALL250,,NSE
MOVALUE,MOTILALAMC - MOVALUE,,NSE
MOTISONS,MOTISONS JEWELLERS LTD,Consumer Durables,NSE
MOTOGENFIN,MOTOR & GENERAL FINANCE L,Commercial Services & Supplies,NSE
MPHASIS,MPHASIS LIMITED,IT - Software,NSE
MPSLTD,MPS LIMITED,Other Consumer Services,NSE
MRF,MRF LTD,Auto Components,NSE
MRPL,MRPL,Petroleum Products,NSE
BECTORFOOD,MRS BECTORS FOOD SPE LTD,Food Products,NSE
MSPL,MSP STEEL & POWER LTD.,Industrial Products,NSE
MSTCLTD,MSTC LIMITED,Commercial Services & Supplies,NSE
MTEDUCARE,MT EDUCARE LTD,Other Consumer Services,NSE
MTARTECH,MTAR TECHNOLOGIES LIMITED,Aerospace & Defense,NSE
MUFIN,MUFIN GREEN FINANCE LTD,Finance,NSE
MUKANDLTD,MUKAND LTD.,Ferrous Metals,NSE
MUKKA,MUKKA PROTEINS LIMITED,Food Products,NSE
MUKTAARTS,MUKTA ARTS LIMITED,Entertainment,NSE
MCX,MULTI COMMODITY EXCHANGE,Capital Markets,NSE
MUNJALAU,MUNJAL AUTO IND. LTD.,Auto Components,NSE
MUNJALSHOW,MUNJAL SHOWA LTD,Auto Components,NSE
MURUDCERA,MURUDESHWAR CERAMICS LTD,Consumer Durables,NSE
RADIOCITY,MUSIC BROADCAST LIMITED,Entertainment,NSE
